98624678,railway,level_crossing,regular
98624690,highway,traffic_signals,regular
98627007,highway,traffic_signals,regular
98627007,traffic_signals,blinker,regular
98629143,highway,traffic_signals,regular
98630622,highway,traffic_signals,regular
98631249,railway,level_crossing,regular
98633314,railway,level_crossing,regular
98633656,railway,level_crossing,regular
98634731,highway,turning_circle,regular
98634735,highway,turning_circle,regular
98635315,railway,level_crossing,regular
98636915,railway,level_crossing,regular
98636992,railway,level_crossing,regular
98637747,highway,traffic_signals,regular
98639380,highway,turning_circle,regular
98641490,highway,turning_circle,regular
98643616,highway,turning_circle,regular
98644404,barrier,full,crossing
98644404,bell,yes,crossing
98644404,light,yes,crossing
98644404,supervision,no,crossing
98644404,railway,level_crossing,regular
98644954,highway,traffic_signals,regular
98644954,traffic_signals,blinker,regular
98647627,railway,level_crossing,regular
98648284,railway,level_crossing,regular
98649093,railway,switch,regular
98649163,railway,level_crossing,regular
98649171,railway,level_crossing,regular
98649184,railway,level_crossing,regular
98649190,railway,level_crossing,regular
98742165,highway,stop,regular
98742165,stop,all,regular
98742165,traffic_signals,blinker,regular
98742171,highway,traffic_signals,regular
98742333,highway,turning_circle,regular
98742618,power,portal,regular
98742620,power,portal,regular
98742622,power,tower,regular
98742624,power,portal,regular
98742628,power,portal,regular
98742630,power,portal,regular
98742632,power,portal,regular
98742635,power,tower,regular
98742638,power,portal,regular
98742642,power,portal,regular
98742644,power,portal,regular
98742647,power,portal,regular
98742648,power,portal,regular
98743551,highway,motorway_junction,regular
98743551,old_ref,70,regular
98743551,ref,354,regular
98743568,highway,traffic_signals,regular
98743598,highway,traffic_signals,regular
98744538,power,tower,regular
98744540,power,tower,regular
98744551,power,tower,regular
98744555,power,tower,regular
98744555,structure,lattice,regular
98744558,power,tower,regular
98744561,power,tower,regular
98744567,power,tower,regular
98744575,power,tower,regular
98744668,highway,turning_circle,regular
98744670,highway,turning_circle,regular
98746260,highway,turning_circle,regular
98747138,crossing,traffic_signals,regular
98747138,highway,traffic_signals,regular
98750568,highway,turning_circle,regular
98752004,noexit,yes,regular
98752008,noexit,yes,regular
98752010,noexit,yes,regular
98752016,noexit,yes,regular
98752017,noexit,yes,regular
98752019,noexit,yes,regular
98752021,noexit,yes,regular
98752023,noexit,yes,regular
98752026,noexit,yes,regular
98752800,railway,level_crossing,regular
98752807,railway,level_crossing,regular
98754584,highway,turning_circle,regular
98756920,power,portal,regular
98756922,power,portal,regular
98756927,power,portal,regular
98756928,power,portal,regular
98756929,power,portal,regular
98756933,power,portal,regular
98756936,power,portal,regular
98756938,power,portal,regular
98756940,power,portal,regular
98756942,power,portal,regular
98756944,power,portal,regular
98756945,power,portal,regular
98756946,power,portal,regular
98756948,power,portal,regular
98756949,power,portal,regular
98756950,power,portal,regular
98756952,power,portal,regular
98756954,power,portal,regular
98756956,power,portal,regular
98756957,power,portal,regular
98756963,power,portal,regular
98756965,power,portal,regular
98756967,power,portal,regular
