10228681,DaveHansenTiger,7168,1,294406,2007-10-23T21:06:08Z
10228683,DaveHansenTiger,7168,1,294406,2007-10-23T21:06:08Z
10228697,DaveHansenTiger,7168,1,294406,2007-10-23T21:06:23Z
10228767,DaveHansenTiger,7168,1,294406,2007-10-23T21:07:24Z
10228804,pete404,2716442,2,46207176,2017-02-19T05:32:48Z
10228809,DaveHansenTiger,7168,1,294406,2007-10-23T21:08:00Z
10228898,pete404,2716442,11,49775215,2017-06-23T16:15:46Z
10229043,NE2,207745,2,13989007,2012-11-22T18:22:22Z
10229053,DaveHansenTiger,7168,1,294406,2007-10-23T21:10:39Z
10229058,DaveHansenTiger,7168,1,294406,2007-10-23T21:10:42Z
10229066,DaveHansenTiger,7168,1,294406,2007-10-23T21:10:50Z
10229109,DaveHansenTiger,7168,1,294406,2007-10-23T21:11:28Z
10229114,valerietheblonde,1943612,2,66775660,2019-01-30T16:25:04Z
10229138,Horza,40450,2,66934544,2019-02-05T14:59:19Z
10229152,Horza,40450,2,66934544,2019-02-05T14:59:21Z
10229270,Rub21,510836,2,13883102,2012-11-15T13:36:47Z
10229281,grouper,369983,2,27664000,2014-12-24T03:42:17Z
10229314,DaveHansenTiger,7168,1,294406,2007-10-23T21:13:30Z
10229489,DaveHansenTiger,7168,1,294406,2007-10-23T21:15:45Z
10229501,DaveHansenTiger,7168,1,294406,2007-10-23T21:15:48Z
10229550,DaveHansenTiger,7168,1,294406,2007-10-23T21:16:33Z
10229588,valerietheblonde,1943612,3,66775660,2019-01-30T16:25:05Z
10229591,valerietheblonde,1943612,2,66775660,2019-01-30T16:25:06Z
10229683,DaveHansenTiger,7168,1,294807,2007-10-23T21:18:40Z
10229710,DaveHansenTiger,7168,1,294807,2007-10-23T21:19:15Z
10229821,DaveHansenTiger,7168,1,294807,2007-10-23T21:20:19Z
10229829,DaveHansenTiger,7168,1,294807,2007-10-23T21:20:25Z
10229833,DaveHansenTiger,7168,1,294807,2007-10-23T21:20:26Z
10229885,DaveHansenTiger,7168,1,294807,2007-10-23T21:21:12Z
10229909,DaveHansenTiger,7168,1,294807,2007-10-23T21:21:28Z
10230065,Jack the Ripper,1946151,3,36950791,2016-02-02T06:01:39Z
10230193,DaveHansenTiger,7168,1,294807,2007-10-23T21:23:38Z
10230219,valerietheblonde,1943612,2,57754980,2018-04-02T23:05:59Z
10230349,DaveHansenTiger,7168,1,294807,2007-10-23T21:25:25Z
10230360,sabaamzn,9632265,3,71671743,2019-06-27T12:49:41Z
10230371,valerietheblonde,1943612,2,66773557,2019-01-30T15:01:17Z
10230438,DaveHansenTiger,7168,1,294807,2007-10-23T21:26:57Z
10230441,DaveHansenTiger,7168,1,294807,2007-10-23T21:27:05Z
10230451,DaveHansenTiger,7168,1,294807,2007-10-23T21:27:16Z
10230567,valerietheblonde,1943612,2,66775660,2019-01-30T16:25:06Z
10230569,DaveHansenTiger,7168,1,294807,2007-10-23T21:29:32Z
10230631,Horza,40450,2,66934544,2019-02-05T14:59:18Z
10230645,valerietheblonde,1943612,2,66775660,2019-01-30T16:25:07Z
10230648,DaveHansenTiger,7168,1,294807,2007-10-23T21:30:50Z
10230649,DaveHansenTiger,7168,1,294807,2007-10-23T21:30:51Z
10230652,DaveHansenTiger,7168,1,294807,2007-10-23T21:30:55Z
10230837,DaveHansenTiger,7168,1,294807,2007-10-23T21:32:50Z
10230841,NE2,207745,2,11246739,2012-04-09T23:42:51Z
10230843,DaveHansenTiger,7168,1,294807,2007-10-23T21:32:54Z
10230850,DaveHansenTiger,7168,1,294807,2007-10-23T21:32:56Z
10230867,DaveHansenTiger,7168,1,294807,2007-10-23T21:33:07Z
10230980,DaveHansenTiger,7168,1,294807,2007-10-23T21:34:13Z
10230983,DaveHansenTiger,7168,1,294807,2007-10-23T21:34:14Z
10231003,valerietheblonde,1943612,2,66775660,2019-01-30T16:25:08Z
10231076,DaveHansenTiger,7168,1,294807,2007-10-23T21:35:58Z
10231078,DaveHansenTiger,7168,1,294807,2007-10-23T21:36:03Z
10231197,Horza,40450,2,66934544,2019-02-05T14:59:21Z
10231200,Horza,40450,2,66934544,2019-02-05T14:59:21Z
10231382,DaveHansenTiger,7168,1,294807,2007-10-23T21:38:58Z
10231550,NE2,207745,3,14258232,2012-12-13T10:11:14Z
10231568,DaveHansenTiger,7168,1,294807,2007-10-23T21:40:33Z
10231594,DaveHansenTiger,7168,1,294807,2007-10-23T21:40:38Z
10231627,DaveHansenTiger,7168,1,294807,2007-10-23T21:40:49Z
10231693,DaveHansenTiger,7168,1,294807,2007-10-23T21:41:17Z
10231752,DaveHansenTiger,7168,1,294807,2007-10-23T21:41:49Z
10231820,Horza,40450,2,66934544,2019-02-05T14:59:20Z
10231821,DaveHansenTiger,7168,1,294807,2007-10-23T21:42:28Z
10231828,NE2,207745,3,14258232,2012-12-13T10:11:14Z
10231932,Horza,40450,3,66934544,2019-02-05T14:59:20Z
10231955,DaveHansenTiger,7168,1,294807,2007-10-23T21:43:28Z
10231960,DaveHansenTiger,7168,1,294807,2007-10-23T21:43:29Z
10232025,DaveHansenTiger,7168,1,294807,2007-10-23T21:44:06Z
10232034,DaveHansenTiger,7168,1,294807,2007-10-23T21:44:13Z
10232035,DaveHansenTiger,7168,1,294807,2007-10-23T21:44:13Z
10232152,DaveHansenTiger,7168,1,294807,2007-10-23T21:45:27Z
10232300,DaveHansenTiger,7168,1,294807,2007-10-23T21:46:30Z
10232441,DaveHansenTiger,7168,1,294807,2007-10-23T21:47:51Z
10232458,Junk Jim,205288,2,3300396,2009-12-06T04:03:07Z
10232588,DaveHansenTiger,7168,1,294807,2007-10-23T21:49:07Z
10232622,DaveHansenTiger,7168,1,294807,2007-10-23T21:49:22Z
10232672,DaveHansenTiger,7168,1,294807,2007-10-23T21:49:49Z
10232677,DaveHansenTiger,7168,1,294807,2007-10-23T21:49:50Z
10232678,DaveHansenTiger,7168,1,294807,2007-10-23T21:49:51Z
10232681,valerietheblonde,1943612,2,66775660,2019-01-30T16:25:09Z
10232698,Horza,40450,2,66934544,2019-02-05T14:59:20Z
10232746,DaveHansenTiger,7168,1,294807,2007-10-23T21:50:46Z
10232750,DaveHansenTiger,7168,1,294807,2007-10-23T21:50:55Z
